SMILES,IC50
CC1C2C(CC3C2(CCC4C3CC=C5C4(C(CC(C5)O)OC6C(C(C(CO6)O)O)OC7C(C(C(C(O7)C)OC(=O)C)OC(=O)C)OC(=O)C)C)C)OC18C(C(C(=C)CO8)O)O,9.7
CC1C2C(CC3C2(C(=O)CC4C3CC=C5C4(CCC(C5)OC6C(C(C(C(O6)C)OC7C(C(C(C(O7)CO)O)O)O)O)O)C)C)OC18C(CC(CO8)CO)O,9.689166342
C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,9.678426475
CC1(C(=O)C(=C2C=CC3=CC=CC=C3O2)C(=O)C(C1=O)(C)C)C,9.668063165
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)COC7C(C(C(C(O7)CO)O)O)O,9.657025446
CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,9.641342075
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,9.621077561
CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,9.6
CC(=CCC1=CC(=CC(=C1O)CC=C(C)C)C2CC(=O)C3=C(C=C(C(=C3O2)CC=C(C)C)O)O)C,9.6
CC(=CCC1=C(C=CC(=C1)C2=COC3=C4C=CC(OC4=C(C(=C3C2=O)O)CC=C(C)C)(C)C)O)C,9.6
C1C2C(C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=C24)OCO5,9.6
COC1=CC2=C(C=C1)C3=NC=CC4=C3C(=C(C(=C4OC)OC)N)C2=O,9.6
CC(=CCC1=CC(=CC(=C1O)CC=C(C)C)C2CC(=O)C3=C(O2)C=C(C=C3)O)C,9.6
CC1=CCCC2=CC(CC(=CC3C(CC1)C(=C)C(=O)O3)C)OC2=O,9.6
CC(=CCC1=CC(=CC(=C1O)CC=C(C)C)C2CC(=O)C3=C(C=C(C=C3O2)O)O)C,9.6
COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)O,9.6
CC(=CCC1=CC(=CC2=C1OC(C=C2)(C)C)C3CC(=O)C4=C(C=C(C(=C4O3)CC=C(C)C)O)O)C,9.6
