SMILES,IC50
COC1=CC=C(C=C1)C2=C3C(C(C(C4=CC=CC(=C43)C=C2)O)O)O,62.03473945
C1=CC(=CC=C1CCC(=O)C=CC=CC2=CC=C(C=C2)O)O,41.45429834
CC1=C2C(C(C3(C(CC4C(C3C(C2(CC1OC(=O)C5=CC=CC=C5)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C6=CC=CC=C6,203.3084449
CC1=C2C(C(C3(C(CC4C(C3C(C2(CC1OC(=O)C5=CC=CC=C5)C(C)(C)O)OC(=O)C)(CO4)OC(=O)C)OC(=O)C)C)OC(=O)C)OC(=O)C6=CC=CC=C6,257.4665294
COC1=CC23CCC[N+]2(CC(C4=CC5=C(C=C4C3C1O)OCO5)O)[O-],89.23431203
CC(=CCC1=C2C(=CC(=C1OC)O)OC3=CC(=C4CC(C(OC4=C3C2=O)(C)C)O)O)C,30.80890973
CC(=CCC1=C2C(=CC(=C1OC)O)OC3=CC(=C4CC(C(OC4=C3C2=O)(C)C)O)O)C,43.44665885
CC1(C=CC2=C3C(=C(C=C2O1)O)C(=O)C4(C(O3)COC5=CC(=C(C=C54)OC)OC)O)C,47
CC1(C2CCC3C4(C(C56C(C4(C(CC37C2(C7)CCC1OC8C(C(C(CO8)O)O)O)O)C)C(CC(O5)C(O6)C(C)(C)O)CO)O)C)C,222
CC1CC2C(OC3(C1C4(C(CC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)O)C)O2)C(C)(C)O,74
CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)OC,19.33621934
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CCC=C2C)C,23.6
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CCC=C2C)C,26.9
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CCC=C2C)C,30
CC12CCC(CC1(CCC3C2CCC4(C3(CCC4C5=CC(=O)OC5)O)C)O)O,100
CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,47
CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,63
CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,75
CC1=CC2C(C(CC(C3C(C1=O)O3)(C)O)OC(=O)C(C)C)C(=C)C(=O)O2,27.44237102
CC(=O)OC1CC(C23COC(C2C4(C(C5C3C1(CO5)C)OC6(C4(C7CC6C8(C=COC8O7)O)O)C)C)(C(=O)OC)OC)OC(=O)C=CC9=CC=CC=C9,14.21223606
CC(=C)C(=O)OC1CCC23COC(C2C4(C(C5C3C1(CO5)C)OC6(C4(C7CC6C8(C=COC8O7)O)O)C)C)(C(=O)OC)OC,75.9657346
CC(=CCC1=C(C=CC2=C1OC3C2COC4=CC(=C(C(=C34)OC)CC=C(C)C)O)O)C,17.98816568 to 45.20710059
C1=CC2=C3C(=C1)C(=O)OC(=O)C3=C(C=C2)C4=CC=C(C=C4)O,13.77884947
CC1C(C2(C(C(C3C(O2)CC4C3(CCC5C4CC6C7(C5(C(=O)CC(C7O)OC)C)O6)C)(C)O)O)OC1=O)C,106.6
CC1C(C2(C(C(C3C(O2)CC4C3(CCC5C4CC6C7(C5(C(=O)CCC7O)C)O6)C)(C)O)O)OC1=O)C,96.9
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)CCC6O)C)O5)C)CO,15.6157427
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)CCC6O)C)O5)C)CO,18.30300466
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)CCC6O)C)O5)C)CO,22.2175201
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)CCC6O)C)O5)C)CO,24.54506983
