BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1.161,833.24,32.443,28.459,28.459,21.761,18.712,18.712,14.194,14.194,10.163,10.163,7.284,7.284,18.312,25.221,0,42.593,25.683,82.623,44.946,0,13,6.924,14.211,638.476,0.919,-1.03,45,572.399,8692882983,38.418,21.766,14.732,272.849,11.653,0.455,11.653,0.334,0.067,0.334,-0.654,-0.455,6.829,176.851,638.927,4,8,0,3,3,0,0,0,8,4,8,0,25,0,2,2,262,34.637,6.104,0,0,0,5.969,0,4.795,0,0,71.132,96.47,5.573,48.832,3,39.431,5.969,0,0,0,216.462,0,11.649,0,0,0,0,0,0,81.331,19.005,0,161.526,11.649,0,0,0,125.68,0,0,0,0,0,0,0,0,0,97.333,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
1.669,1116.444,23.974,20.638,20.638,15.443,12.296,12.296,11.793,11.793,10.68,10.68,8.41,8.41,5.415,14.696,0,39.675,5.573,56.092,18.256,6.076,6.924,39.502,4.737,448.261,0.586,-2.36,33,412.315,20497144.95,22.433,6.835,2.582,196.711,13.236,0.504,13.236,0.312,0.048,0.312,-0.431,-0.504,6.316,128.304,448.603,1,4,5,0,5,0,0,0,4,1,4,0,2,3,0,3,176,9.843,0,5.759,5.783,0,5.969,9.589,0,0,0,50.648,85.84,10.988,12.525,5,19.432,11.753,0,0,27.578,72.641,7.11,58.432,0,0,0,0,0,0,23.969,14.326,27.578,72.641,58.432,0,0,0,63.6,0,0,0,0,0,0,0,0,0,72.667,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.467,685.866,19.027,16.746,16.746,12.777,11.055,11.055,10.72,10.72,9.957,9.957,8.387,8.387,5.601,15.008,0,28.821,24.361,56.94,6.421,6.076,0,13.847,4.737,374.246,0.87,-0.87,27,340.249,1935242.114,18.177,5.823,2.32,161.913,12.116,0.458,12.116,0.331,0.126,0.331,-0.628,-0.458,3.604,101.726,374.521,2,4,4,1,5,0,0,0,4,2,4,0,1,4,0,4,150,14.95,6.607,0,0,0,5.969,0,4.795,0,0,13.847,92.447,11.491,11.705,5,19.744,5.969,0,0,34.502,83.34,6.607,11.649,0,0,0,0,0,0,34.494,9.531,34.502,71.635,11.649,0,0,0,66.76,0,0,0,0,0,0,0,0,0,57.25,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.249,1683.636,35.277,28.645,28.645,23.719,17.342,17.342,16.143,16.143,14.48,14.48,12.519,12.519,105.337,24.909,0,26.055,0,5.563,32.634,13,44.179,0,37.895,696.278,0.676,-2.88,50,652.394,2.24E+11,32.989,10.162,3.426,288.933,14.155,0.469,14.155,0.366,0.009,0.366,-2.104,-0.469,1.474,169.225,696.746,3,13,3,5,8,1,0,1,13,3,13,0,7,3,4,7,270,53.214,17.306,5.601,6.29,5.787,11.939,0,9.589,0,0,44.179,31.06,53.605,51.002,9,62.804,18.015,0,0,33.999,93.013,27.433,54.309,0,0,0,0,0,0,114.092,47.484,33.999,39.176,48.746,0,6.076,0,168.67,0,0,0,0,0,0,0,0,0,119.75,0,3,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.736,1439.481,27.363,21.411,21.411,18.938,12.241,12.241,9.465,9.465,7.884,7.884,6.407,6.407,35.111,14.696,0,30.328,28.375,0,21.329,30.332,30.332,0,33.158,534.153,0.31,-4.44,39,508.309,1116532890,24.872,9.091,3.241,223.455,13.503,0.496,13.503,0.313,0.034,0.313,-2.131,-0.496,3.036,133.94,534.517,1,10,1,2,3,3,0,3,10,1,10,0,8,1,0,1,202,38.265,23.166,28.805,6.793,6.472,5.969,9.589,0,0,0,36.398,17.696,23.614,26.893,6,47.854,12.442,0,0,5.918,23.224,28.122,77.354,0,28.748,23.684,0,28.748,0,51.774,30.265,5.918,22.608,60.664,0,0,0,118.98,0,0,0,0,0,0,0,0,0,95.5,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.417,1392.358,32.579,28.143,28.143,21.121,17.382,17.382,16.767,16.767,14.835,14.835,11.96,11.96,22.769,24.909,0,46.541,37.016,44.088,11.649,30.341,0,47.618,4.737,618.392,0.692,-2.6,45,564.423,6495349375,32.345,10.993,4.663,268.885,13.344,0.508,13.344,0.33,0.028,0.33,-0.773,-0.508,8.032,175.037,618.855,3,6,5,0,5,1,0,1,5,3,6,0,6,4,0,4,246,20.056,12.356,0,0,0,11.939,4.795,4.795,0,0,65.324,127.394,11.491,11.519,6,29.646,18.015,0,0,56.664,105.434,6.607,47.554,0,5.75,0,0,5.75,0,39.969,14.326,56.664,104.893,41.991,0,6.076,0,104.06,0,0,0,0,0,0,0,0,0,99.083,1,1,1,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.097,1293.493,22.662,18.198,18.198,14.546,10.094,10.094,8.698,8.698,5.817,5.817,4.022,4.022,17.134,20.114,0,45.608,23.297,5.573,13.176,19.914,19.923,0,13.891,426.168,0.375,-3.19,31,400.257,6029116.716,21.058,7.198,3.291,178.69,13.567,0.507,13.567,0.204,0.007,0.204,-0.854,-0.507,3.949,117.424,426.465,3,7,0,1,1,2,1,3,7,3,7,0,3,0,0,0,164,29.21,33.652,11.499,5.429,0,0,4.795,0,0,0,11.649,34.116,29.68,18.6,4,29.21,21.938,0,0,0,52.242,7.11,45.132,0,22.998,14.903,0,22.998,0,34.134,12.842,0,38.822,32.994,0,21.938,0,109.36,0,0,0,0,0,0,0,0,5.958,71.125,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.224,1015.593,27.087,21.829,21.829,17.978,14.075,14.075,12.991,12.991,11.611,11.611,9.522,9.522,52.738,35.122,0,43.358,44.946,18.28,0,6.076,0,6.924,14.211,536.262,0.857,-1.4,38,496.298,392592489.6,26.804,9.056,3.57,221.503,12.919,0.458,12.919,0.331,0.049,0.331,-1.418,-0.458,0.362,130.202,536.618,5,10,4,2,6,0,0,0,10,5,10,0,4,4,1,5,212,44.538,31.205,6.29,0,0,5.969,0,4.795,0,0,6.924,74.693,17.912,29.328,6,49.332,12.255,0,0,28.584,106.619,13.214,11.649,0,0,0,0,0,0,92.91,23.8,28.584,64.711,11.649,0,0,0,162.98,0,0,0,0,0,0,0,0,0,96,0,5,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.134,1203.096,28.568,24.957,24.957,18.817,15.733,15.733,15.419,15.419,13.541,13.541,11.068,11.068,16.431,19.49,0,60.026,48.373,37.677,0,0,20.771,20.771,14.211,554.324,0.848,-1.57,40,508.356,1262810170,27.275,8.504,3.26,237.306,13.867,0.458,13.867,0.336,0.021,0.336,-0.577,-0.458,4.579,146,554.724,1,7,5,2,7,0,0,0,7,1,7,0,5,5,1,6,220,19.317,23.592,5.783,0,0,5.969,9.589,4.795,0,0,19.421,101.224,12.842,35.218,7,33.701,17.536,0,0,45.835,122.926,6.607,11.146,0,0,0,0,0,0,59.266,28.594,45.835,92.909,11.146,0,0,0,102.43,0,0,0,0,0,0,0,0,0,88.333,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.718,1189.007,24.577,19.371,19.371,16.077,10.709,10.709,9.035,9.035,6.758,6.758,4.903,4.903,41.047,20.114,0,46.295,5.75,0,39.528,13.847,0,0,28.421,474.153,0.458,-3.21,34,448.254,36671358.54,22.576,7.393,2.82,195.076,13.838,0.507,13.838,0.21,0.024,0.21,-2.179,-0.507,1.853,116.255,474.462,3,10,0,3,3,2,0,2,10,3,10,0,3,0,0,0,182,43.741,52.977,23.204,5.783,0,0,4.795,0,0,0,0,19.914,24.806,19.783,5,48.535,5.783,0,0,0,43.361,27.936,34.889,0,34.497,23.684,0,34.497,0,66.848,10.338,0,41.436,18.199,0,0,0,133.14,0,0,0,0,0,0,0,0,0,86.667,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
